state_of_residence,month,month_code,year_code,sex_of_infant,births
Alabama,January,1,2025,Female,2402
Alabama,January,1,2025,Male,2600
Alabama,February,2,2025,Female,2214
Alabama,February,2,2025,Male,2194
Alabama,March,3,2025,Female,2220
Alabama,March,3,2025,Male,2292
Alabama,April,4,2025,Female,2197
Alabama,April,4,2025,Male,2375
Alabama,May,5,2025,Female,2277
Alabama,May,5,2025,Male,2375
Alabama,June,6,2025,Female,2200
Alabama,June,6,2025,Male,2395
Alabama,July,7,2025,Female,2551
Alabama,July,7,2025,Male,2535
Alabama,August,8,2025,Female,2496
Alabama,August,8,2025,Male,2515
Alabama,September,9,2025,Female,2417
Alabama,September,9,2025,Male,2530
Alabama,October,10,2025,Female,2441
Alabama,October,10,2025,Male,2553
Alabama,November,11,2025,Female,2166
Alabama,November,11,2025,Male,2274
Alabama,December,12,2025,Female,2382
Alabama,December,12,2025,Male,2516
Alaska,January,1,2025,Female,333
Alaska,January,1,2025,Male,380
Alaska,February,2,2025,Female,345
Alaska,February,2,2025,Male,312
Alaska,March,3,2025,Female,367
Alaska,March,3,2025,Male,412
Alaska,April,4,2025,Female,352
Alaska,April,4,2025,Male,351
Alaska,May,5,2025,Female,412
Alaska,May,5,2025,Male,385
Alaska,June,6,2025,Female,366
Alaska,June,6,2025,Male,412
Alaska,July,7,2025,Female,383
Alaska,July,7,2025,Male,424
Alaska,August,8,2025,Female,372
Alaska,August,8,2025,Male,416
Alaska,September,9,2025,Female,343
Alaska,September,9,2025,Male,389
Alaska,October,10,2025,Female,375
Alaska,October,10,2025,Male,409
Alaska,November,11,2025,Female,354
Alaska,November,11,2025,Male,355
Alaska,December,12,2025,Female,283
Alaska,December,12,2025,Male,270
Arizona,January,1,2025,Female,3270
Arizona,January,1,2025,Male,3482
Arizona,February,2,2025,Female,2984
Arizona,February,2,2025,Male,3264
Arizona,March,3,2025,Female,3111
Arizona,March,3,2025,Male,3286
Arizona,April,4,2025,Female,3016
Arizona,April,4,2025,Male,3011
Arizona,May,5,2025,Female,3047
Arizona,May,5,2025,Male,3244
Arizona,June,6,2025,Female,2980
Arizona,June,6,2025,Male,3189
Arizona,July,7,2025,Female,3135
Arizona,July,7,2025,Male,3293
Arizona,August,8,2025,Female,3483
Arizona,August,8,2025,Male,3557
Arizona,September,9,2025,Female,3371
Arizona,September,9,2025,Male,3475
Arizona,October,10,2025,Female,3333
Arizona,October,10,2025,Male,3603
Arizona,November,11,2025,Female,3256
Arizona,November,11,2025,Male,3338
Arizona,December,12,2025,Female,3474
Arizona,December,12,2025,Male,3422
Arkansas,January,1,2025,Female,1483
Arkansas,January,1,2025,Male,1542
Arkansas,February,2,2025,Female,1272
Arkansas,February,2,2025,Male,1442
Arkansas,March,3,2025,Female,1389
Arkansas,March,3,2025,Male,1520
Arkansas,April,4,2025,Female,1397
Arkansas,April,4,2025,Male,1423
Arkansas,May,5,2025,Female,1450
Arkansas,May,5,2025,Male,1455
Arkansas,June,6,2025,Female,1413
Arkansas,June,6,2025,Male,1487
Arkansas,July,7,2025,Female,1595
Arkansas,July,7,2025,Male,1678
Arkansas,August,8,2025,Female,1569
Arkansas,August,8,2025,Male,1609
Arkansas,September,9,2025,Female,1481
Arkansas,September,9,2025,Male,1490
Arkansas,October,10,2025,Female,1486
Arkansas,October,10,2025,Male,1591
Arkansas,November,11,2025,Female,1319
Arkansas,November,11,2025,Male,1351
Arkansas,December,12,2025,Female,1504
Arkansas,December,12,2025,Male,1598
California,January,1,2025,Female,16316
California,January,1,2025,Male,17400
California,February,2,2025,Female,14832
California,February,2,2025,Male,15506
California,March,3,2025,Female,15749
California,March,3,2025,Male,16610
California,April,4,2025,Female,15200
California,April,4,2025,Male,15715
California,May,5,2025,Female,15872
California,May,5,2025,Male,16696
California,June,6,2025,Female,15612
California,June,6,2025,Male,16331
California,July,7,2025,Female,17002
California,July,7,2025,Male,17538
California,August,8,2025,Female,17263
California,August,8,2025,Male,17627
California,September,9,2025,Female,16399
California,September,9,2025,Male,17225
California,October,10,2025,Female,16545
California,October,10,2025,Male,17284
California,November,11,2025,Female,15413
California,November,11,2025,Male,15974
California,December,12,2025,Female,16049
California,December,12,2025,Male,16953
Colorado,January,1,2025,Female,2611
Colorado,January,1,2025,Male,2772
Colorado,February,2,2025,Female,2376
Colorado,February,2,2025,Male,2554
Colorado,March,3,2025,Female,2742
Colorado,March,3,2025,Male,2789
Colorado,April,4,2025,Female,2615
Colorado,April,4,2025,Male,2758
Colorado,May,5,2025,Female,2720
Colorado,May,5,2025,Male,2849
Colorado,June,6,2025,Female,2783
Colorado,June,6,2025,Male,2836
Colorado,July,7,2025,Female,2890
Colorado,July,7,2025,Male,2930
Colorado,August,8,2025,Female,2798
Colorado,August,8,2025,Male,2882
Colorado,September,9,2025,Female,2736
Colorado,September,9,2025,Male,3001
Colorado,October,10,2025,Female,2655
Colorado,October,10,2025,Male,2785
Colorado,November,11,2025,Female,2437
Colorado,November,11,2025,Male,2558
Colorado,December,12,2025,Female,2589
Colorado,December,12,2025,Male,2699
Connecticut,January,1,2025,Female,1435
Connecticut,January,1,2025,Male,1467
Connecticut,February,2,2025,Female,1250
Connecticut,February,2,2025,Male,1276
Connecticut,March,3,2025,Female,1372
Connecticut,March,3,2025,Male,1409
Connecticut,April,4,2025,Female,1341
Connecticut,April,4,2025,Male,1395
Connecticut,May,5,2025,Female,1551
Connecticut,May,5,2025,Male,1578
Connecticut,June,6,2025,Female,1451
Connecticut,June,6,2025,Male,1544
Connecticut,July,7,2025,Female,1541
Connecticut,July,7,2025,Male,1674
Connecticut,August,8,2025,Female,1563
Connecticut,August,8,2025,Male,1609
Connecticut,September,9,2025,Female,1405
Connecticut,September,9,2025,Male,1415
Connecticut,October,10,2025,Female,1472
Connecticut,October,10,2025,Male,1541
Connecticut,November,11,2025,Female,1270
Connecticut,November,11,2025,Male,1293
Connecticut,December,12,2025,Female,1336
Connecticut,December,12,2025,Male,1481
Delaware,January,1,2025,Female,450
Delaware,January,1,2025,Male,469
Delaware,February,2,2025,Female,400
Delaware,February,2,2025,Male,414
Delaware,March,3,2025,Female,427
Delaware,March,3,2025,Male,432
Delaware,April,4,2025,Female,407
Delaware,April,4,2025,Male,441
Delaware,May,5,2025,Female,423
Delaware,May,5,2025,Male,428
Delaware,June,6,2025,Female,396
Delaware,June,6,2025,Male,446
Delaware,July,7,2025,Female,456
Delaware,July,7,2025,Male,516
Delaware,August,8,2025,Female,498
Delaware,August,8,2025,Male,468
Delaware,September,9,2025,Female,404
Delaware,September,9,2025,Male,440
Delaware,October,10,2025,Female,434
Delaware,October,10,2025,Male,419
Delaware,November,11,2025,Female,376
Delaware,November,11,2025,Male,403
Delaware,December,12,2025,Female,408
Delaware,December,12,2025,Male,428
District of Columbia,January,1,2025,Female,314
District of Columbia,January,1,2025,Male,331
District of Columbia,February,2,2025,Female,312
District of Columbia,February,2,2025,Male,287
District of Columbia,March,3,2025,Female,293
District of Columbia,March,3,2025,Male,308
District of Columbia,April,4,2025,Female,272
District of Columbia,April,4,2025,Male,270
District of Columbia,May,5,2025,Female,274
District of Columbia,May,5,2025,Male,278
District of Columbia,June,6,2025,Female,303
District of Columbia,June,6,2025,Male,284
District of Columbia,July,7,2025,Female,354
District of Columbia,July,7,2025,Male,325
District of Columbia,August,8,2025,Female,322
District of Columbia,August,8,2025,Male,319
District of Columbia,September,9,2025,Female,341
District of Columbia,September,9,2025,Male,313
District of Columbia,October,10,2025,Female,308
District of Columbia,October,10,2025,Male,291
District of Columbia,November,11,2025,Female,278
District of Columbia,November,11,2025,Male,274
District of Columbia,December,12,2025,Female,317
District of Columbia,December,12,2025,Male,335
Florida,January,1,2025,Female,9604
Florida,January,1,2025,Male,9947
Florida,February,2,2025,Female,8290
Florida,February,2,2025,Male,8875
Florida,March,3,2025,Female,8864
Florida,March,3,2025,Male,9213
Florida,April,4,2025,Female,8586
Florida,April,4,2025,Male,8807
Florida,May,5,2025,Female,8789
Florida,May,5,2025,Male,9484
Florida,June,6,2025,Female,8583
Florida,June,6,2025,Male,9092
Florida,July,7,2025,Female,9504
Florida,July,7,2025,Male,9889
Florida,August,8,2025,Female,9735
Florida,August,8,2025,Male,10306
Florida,September,9,2025,Female,9729
Florida,September,9,2025,Male,9968
Florida,October,10,2025,Female,9485
Florida,October,10,2025,Male,9938
Florida,November,11,2025,Female,8690
Florida,November,11,2025,Male,9200
Florida,December,12,2025,Female,9519
Florida,December,12,2025,Male,9874
Georgia,January,1,2025,Female,5232
Georgia,January,1,2025,Male,5543
Georgia,February,2,2025,Female,4785
Georgia,February,2,2025,Male,4945
Georgia,March,3,2025,Female,5161
Georgia,March,3,2025,Male,5343
Georgia,April,4,2025,Female,4945
Georgia,April,4,2025,Male,4964
Georgia,May,5,2025,Female,5031
Georgia,May,5,2025,Male,5163
Georgia,June,6,2025,Female,4874
Georgia,June,6,2025,Male,5221
Georgia,July,7,2025,Female,5488
Georgia,July,7,2025,Male,5684
Georgia,August,8,2025,Female,5326
Georgia,August,8,2025,Male,5605
Georgia,September,9,2025,Female,5282
Georgia,September,9,2025,Male,5420
Georgia,October,10,2025,Female,5255
Georgia,October,10,2025,Male,5283
Georgia,November,11,2025,Female,4694
Georgia,November,11,2025,Male,4998
Georgia,December,12,2025,Female,5361
Georgia,December,12,2025,Male,5569
Hawaii,January,1,2025,Female,611
Hawaii,January,1,2025,Male,666
Hawaii,February,2,2025,Female,540
Hawaii,February,2,2025,Male,566
Hawaii,March,3,2025,Female,550
Hawaii,March,3,2025,Male,573
Hawaii,April,4,2025,Female,609
Hawaii,April,4,2025,Male,591
Hawaii,May,5,2025,Female,631
Hawaii,May,5,2025,Male,656
Hawaii,June,6,2025,Female,574
Hawaii,June,6,2025,Male,624
Hawaii,July,7,2025,Female,572
Hawaii,July,7,2025,Male,618
Hawaii,August,8,2025,Female,596
Hawaii,August,8,2025,Male,596
Hawaii,September,9,2025,Female,603
Hawaii,September,9,2025,Male,623
Hawaii,October,10,2025,Female,553
Hawaii,October,10,2025,Male,627
Hawaii,November,11,2025,Female,567
Hawaii,November,11,2025,Male,609
Hawaii,December,12,2025,Female,631
Hawaii,December,12,2025,Male,656
Idaho,January,1,2025,Female,918
Idaho,January,1,2025,Male,1024
Idaho,February,2,2025,Female,869
Idaho,February,2,2025,Male,881
Idaho,March,3,2025,Female,964
Idaho,March,3,2025,Male,1034
Idaho,April,4,2025,Female,1014
Idaho,April,4,2025,Male,999
Idaho,May,5,2025,Female,1043
Idaho,May,5,2025,Male,1132
Idaho,June,6,2025,Female,1066
Idaho,June,6,2025,Male,1016
Idaho,July,7,2025,Female,1059
Idaho,July,7,2025,Male,1146
Idaho,August,8,2025,Female,1003
Idaho,August,8,2025,Male,1090
Idaho,September,9,2025,Female,1026
Idaho,September,9,2025,Male,960
Idaho,October,10,2025,Female,1049
Idaho,October,10,2025,Male,1009
Idaho,November,11,2025,Female,866
Idaho,November,11,2025,Male,914
Idaho,December,12,2025,Female,945
Idaho,December,12,2025,Male,1034
Illinois,January,1,2025,Female,5039
Illinois,January,1,2025,Male,5281
Illinois,February,2,2025,Female,4519
Illinois,February,2,2025,Male,4813
Illinois,March,3,2025,Female,5066
Illinois,March,3,2025,Male,5237
Illinois,April,4,2025,Female,4922
Illinois,April,4,2025,Male,5191
Illinois,May,5,2025,Female,5199
Illinois,May,5,2025,Male,5581
Illinois,June,6,2025,Female,5135
Illinois,June,6,2025,Male,5308
Illinois,July,7,2025,Female,5625
Illinois,July,7,2025,Male,5795
Illinois,August,8,2025,Female,5362
Illinois,August,8,2025,Male,5698
Illinois,September,9,2025,Female,5145
Illinois,September,9,2025,Male,5325
Illinois,October,10,2025,Female,5091
Illinois,October,10,2025,Male,5214
Illinois,November,11,2025,Female,4799
Illinois,November,11,2025,Male,4926
Illinois,December,12,2025,Female,5087
Illinois,December,12,2025,Male,5269
Indiana,January,1,2025,Female,3194
Indiana,January,1,2025,Male,3389
Indiana,February,2,2025,Female,3001
Indiana,February,2,2025,Male,3009
Indiana,March,3,2025,Female,3245
Indiana,March,3,2025,Male,3281
Indiana,April,4,2025,Female,3178
Indiana,April,4,2025,Male,3342
Indiana,May,5,2025,Female,3249
Indiana,May,5,2025,Male,3511
Indiana,June,6,2025,Female,3219
Indiana,June,6,2025,Male,3473
Indiana,July,7,2025,Female,3506
Indiana,July,7,2025,Male,3699
Indiana,August,8,2025,Female,3503
Indiana,August,8,2025,Male,3511
Indiana,September,9,2025,Female,3345
Indiana,September,9,2025,Male,3512
Indiana,October,10,2025,Female,3425
Indiana,October,10,2025,Male,3437
Indiana,November,11,2025,Female,2929
Indiana,November,11,2025,Male,3096
Indiana,December,12,2025,Female,3318
Indiana,December,12,2025,Male,3356
Iowa,January,1,2025,Female,1471
Iowa,January,1,2025,Male,1504
Iowa,February,2,2025,Female,1405
Iowa,February,2,2025,Male,1422
Iowa,March,3,2025,Female,1484
Iowa,March,3,2025,Male,1571
Iowa,April,4,2025,Female,1461
Iowa,April,4,2025,Male,1546
Iowa,May,5,2025,Female,1584
Iowa,May,5,2025,Male,1721
Iowa,June,6,2025,Female,1490
Iowa,June,6,2025,Male,1541
Iowa,July,7,2025,Female,1584
Iowa,July,7,2025,Male,1659
Iowa,August,8,2025,Female,1533
Iowa,August,8,2025,Male,1683
Iowa,September,9,2025,Female,1468
Iowa,September,9,2025,Male,1589
Iowa,October,10,2025,Female,1516
Iowa,October,10,2025,Male,1577
Iowa,November,11,2025,Female,1344
Iowa,November,11,2025,Male,1386
Iowa,December,12,2025,Female,1466
Iowa,December,12,2025,Male,1560
Kansas,January,1,2025,Female,1419
Kansas,January,1,2025,Male,1445
Kansas,February,2,2025,Female,1295
Kansas,February,2,2025,Male,1384
Kansas,March,3,2025,Female,1430
Kansas,March,3,2025,Male,1453
Kansas,April,4,2025,Female,1385
Kansas,April,4,2025,Male,1443
Kansas,May,5,2025,Female,1359
Kansas,May,5,2025,Male,1501
Kansas,June,6,2025,Female,1397
Kansas,June,6,2025,Male,1470
Kansas,July,7,2025,Female,1484
Kansas,July,7,2025,Male,1585
Kansas,August,8,2025,Female,1543
Kansas,August,8,2025,Male,1476
Kansas,September,9,2025,Female,1499
Kansas,September,9,2025,Male,1524
Kansas,October,10,2025,Female,1456
Kansas,October,10,2025,Male,1483
Kansas,November,11,2025,Female,1237
Kansas,November,11,2025,Male,1354
Kansas,December,12,2025,Female,1416
Kansas,December,12,2025,Male,1500
Kentucky,January,1,2025,Female,2180
Kentucky,January,1,2025,Male,2283
Kentucky,February,2,2025,Female,2019
Kentucky,February,2,2025,Male,2098
Kentucky,March,3,2025,Female,2086
Kentucky,March,3,2025,Male,2226
Kentucky,April,4,2025,Female,2063
Kentucky,April,4,2025,Male,2228
Kentucky,May,5,2025,Female,2192
Kentucky,May,5,2025,Male,2232
Kentucky,June,6,2025,Female,2148
Kentucky,June,6,2025,Male,2272
Kentucky,July,7,2025,Female,2341
Kentucky,July,7,2025,Male,2534
Kentucky,August,8,2025,Female,2254
Kentucky,August,8,2025,Male,2384
Kentucky,September,9,2025,Female,2204
Kentucky,September,9,2025,Male,2281
Kentucky,October,10,2025,Female,2117
Kentucky,October,10,2025,Male,2258
Kentucky,November,11,2025,Female,1908
Kentucky,November,11,2025,Male,2037
Kentucky,December,12,2025,Female,2128
Kentucky,December,12,2025,Male,2243
Louisiana,January,1,2025,Female,2196
Louisiana,January,1,2025,Male,2245
Louisiana,February,2,2025,Female,1813
Louisiana,February,2,2025,Male,2081
Louisiana,March,3,2025,Female,2020
Louisiana,March,3,2025,Male,2100
Louisiana,April,4,2025,Female,2009
Louisiana,April,4,2025,Male,1991
Louisiana,May,5,2025,Female,2066
Louisiana,May,5,2025,Male,2133
Louisiana,June,6,2025,Female,2089
Louisiana,June,6,2025,Male,2131
Louisiana,July,7,2025,Female,2231
Louisiana,July,7,2025,Male,2364
Louisiana,August,8,2025,Female,2128
Louisiana,August,8,2025,Male,2320
Louisiana,September,9,2025,Female,2184
Louisiana,September,9,2025,Male,2318
Louisiana,October,10,2025,Female,2208
Louisiana,October,10,2025,Male,2258
Louisiana,November,11,2025,Female,2054
Louisiana,November,11,2025,Male,2101
Louisiana,December,12,2025,Female,2163
Louisiana,December,12,2025,Male,2172
Maine,January,1,2025,Female,450
Maine,January,1,2025,Male,478
Maine,February,2,2025,Female,453
Maine,February,2,2025,Male,474
Maine,March,3,2025,Female,495
Maine,March,3,2025,Male,542
Maine,April,4,2025,Female,458
Maine,April,4,2025,Male,514
Maine,May,5,2025,Female,526
Maine,May,5,2025,Male,567
Maine,June,6,2025,Female,488
Maine,June,6,2025,Male,521
Maine,July,7,2025,Female,522
Maine,July,7,2025,Male,582
Maine,August,8,2025,Female,523
Maine,August,8,2025,Male,555
Maine,September,9,2025,Female,512
Maine,September,9,2025,Male,491
Maine,October,10,2025,Female,529
Maine,October,10,2025,Male,524
Maine,November,11,2025,Female,472
Maine,November,11,2025,Male,457
Maine,December,12,2025,Female,490
Maine,December,12,2025,Male,509
Maryland,January,1,2025,Female,2682
Maryland,January,1,2025,Male,2727
Maryland,February,2,2025,Female,2531
Maryland,February,2,2025,Male,2514
Maryland,March,3,2025,Female,2531
Maryland,March,3,2025,Male,2823
Maryland,April,4,2025,Female,2465
Maryland,April,4,2025,Male,2574
Maryland,May,5,2025,Female,2668
Maryland,May,5,2025,Male,2711
Maryland,June,6,2025,Female,2590
Maryland,June,6,2025,Male,2754
Maryland,July,7,2025,Female,2810
Maryland,July,7,2025,Male,2957
Maryland,August,8,2025,Female,2761
Maryland,August,8,2025,Male,2869
Maryland,September,9,2025,Female,2643
Maryland,September,9,2025,Male,2862
Maryland,October,10,2025,Female,2458
Maryland,October,10,2025,Male,2738
Maryland,November,11,2025,Female,2330
Maryland,November,11,2025,Male,2569
Maryland,December,12,2025,Female,2502
Maryland,December,12,2025,Male,2783
Massachusetts,January,1,2025,Female,2727
Massachusetts,January,1,2025,Male,2919
Massachusetts,February,2,2025,Female,2509
Massachusetts,February,2,2025,Male,2648
Massachusetts,March,3,2025,Female,2699
Massachusetts,March,3,2025,Male,2904
Massachusetts,April,4,2025,Female,2772
Massachusetts,April,4,2025,Male,2924
Massachusetts,May,5,2025,Female,2870
Massachusetts,May,5,2025,Male,2886
Massachusetts,June,6,2025,Female,2807
Massachusetts,June,6,2025,Male,2849
Massachusetts,July,7,2025,Female,3009
Massachusetts,July,7,2025,Male,3134
Massachusetts,August,8,2025,Female,2997
Massachusetts,August,8,2025,Male,3079
Massachusetts,September,9,2025,Female,2756
Massachusetts,September,9,2025,Male,2946
Massachusetts,October,10,2025,Female,2743
Massachusetts,October,10,2025,Male,2902
Massachusetts,November,11,2025,Female,2455
Massachusetts,November,11,2025,Male,2569
Massachusetts,December,12,2025,Female,2647
Massachusetts,December,12,2025,Male,2768
Michigan,January,1,2025,Female,3903
Michigan,January,1,2025,Male,4115
Michigan,February,2,2025,Female,3699
Michigan,February,2,2025,Male,3980
Michigan,March,3,2025,Female,3992
Michigan,March,3,2025,Male,4306
Michigan,April,4,2025,Female,4042
Michigan,April,4,2025,Male,4279
Michigan,May,5,2025,Female,4133
Michigan,May,5,2025,Male,4607
Michigan,June,6,2025,Female,4246
Michigan,June,6,2025,Male,4481
Michigan,July,7,2025,Female,4389
Michigan,July,7,2025,Male,4603
Michigan,August,8,2025,Female,4468
Michigan,August,8,2025,Male,4498
Michigan,September,9,2025,Female,4159
Michigan,September,9,2025,Male,4348
Michigan,October,10,2025,Female,4033
Michigan,October,10,2025,Male,4167
Michigan,November,11,2025,Female,3709
Michigan,November,11,2025,Male,3813
Michigan,December,12,2025,Female,3884
Michigan,December,12,2025,Male,4132
Minnesota,January,1,2025,Female,2511
Minnesota,January,1,2025,Male,2566
Minnesota,February,2,2025,Female,2311
Minnesota,February,2,2025,Male,2411
Minnesota,March,3,2025,Female,2528
Minnesota,March,3,2025,Male,2794
Minnesota,April,4,2025,Female,2515
Minnesota,April,4,2025,Male,2762
Minnesota,May,5,2025,Female,2716
Minnesota,May,5,2025,Male,2744
Minnesota,June,6,2025,Female,2579
Minnesota,June,6,2025,Male,2786
Minnesota,July,7,2025,Female,2752
Minnesota,July,7,2025,Male,2870
Minnesota,August,8,2025,Female,2602
Minnesota,August,8,2025,Male,2808
Minnesota,September,9,2025,Female,2511
Minnesota,September,9,2025,Male,2635
Minnesota,October,10,2025,Female,2562
Minnesota,October,10,2025,Male,2690
Minnesota,November,11,2025,Female,2312
Minnesota,November,11,2025,Male,2405
Minnesota,December,12,2025,Female,2495
Minnesota,December,12,2025,Male,2511
Mississippi,January,1,2025,Female,1365
Mississippi,January,1,2025,Male,1433
Mississippi,February,2,2025,Female,1195
Mississippi,February,2,2025,Male,1292
Mississippi,March,3,2025,Female,1293
Mississippi,March,3,2025,Male,1299
Mississippi,April,4,2025,Female,1222
Mississippi,April,4,2025,Male,1321
Mississippi,May,5,2025,Female,1266
Mississippi,May,5,2025,Male,1349
Mississippi,June,6,2025,Female,1386
Mississippi,June,6,2025,Male,1352
Mississippi,July,7,2025,Female,1451
Mississippi,July,7,2025,Male,1482
Mississippi,August,8,2025,Female,1382
Mississippi,August,8,2025,Male,1474
Mississippi,September,9,2025,Female,1440
Mississippi,September,9,2025,Male,1502
Mississippi,October,10,2025,Female,1395
Mississippi,October,10,2025,Male,1562
Mississippi,November,11,2025,Female,1242
Mississippi,November,11,2025,Male,1289
Mississippi,December,12,2025,Female,1474
Mississippi,December,12,2025,Male,1434
Missouri,January,1,2025,Female,2806
Missouri,January,1,2025,Male,2977
Missouri,February,2,2025,Female,2565
Missouri,February,2,2025,Male,2750
Missouri,March,3,2025,Female,2776
Missouri,March,3,2025,Male,2911
Missouri,April,4,2025,Female,2837
Missouri,April,4,2025,Male,2832
Missouri,May,5,2025,Female,2861
Missouri,May,5,2025,Male,3012
Missouri,June,6,2025,Female,2793
Missouri,June,6,2025,Male,2994
Missouri,July,7,2025,Female,2995
Missouri,July,7,2025,Male,3195
Missouri,August,8,2025,Female,2923
Missouri,August,8,2025,Male,3046
Missouri,September,9,2025,Female,2919
