state_of_residence,month,month_code,year_code,sex_of_infant,births
Missouri,September,9,2025,Male,3031
Missouri,October,10,2025,Female,2856
Missouri,October,10,2025,Male,2925
Missouri,November,11,2025,Female,2522
Missouri,November,11,2025,Male,2685
Missouri,December,12,2025,Female,2859
Missouri,December,12,2025,Male,3078
Montana,January,1,2025,Female,436
Montana,January,1,2025,Male,455
Montana,February,2,2025,Female,395
Montana,February,2,2025,Male,448
Montana,March,3,2025,Female,448
Montana,March,3,2025,Male,506
Montana,April,4,2025,Female,484
Montana,April,4,2025,Male,515
Montana,May,5,2025,Female,506
Montana,May,5,2025,Male,543
Montana,June,6,2025,Female,485
Montana,June,6,2025,Male,519
Montana,July,7,2025,Female,469
Montana,July,7,2025,Male,555
Montana,August,8,2025,Female,511
Montana,August,8,2025,Male,527
Montana,September,9,2025,Female,453
Montana,September,9,2025,Male,488
Montana,October,10,2025,Female,478
Montana,October,10,2025,Male,489
Montana,November,11,2025,Female,417
Montana,November,11,2025,Male,477
Montana,December,12,2025,Female,488
Montana,December,12,2025,Male,502
Nebraska,January,1,2025,Female,925
Nebraska,January,1,2025,Male,1079
Nebraska,February,2,2025,Female,834
Nebraska,February,2,2025,Male,962
Nebraska,March,3,2025,Female,1010
Nebraska,March,3,2025,Male,1043
Nebraska,April,4,2025,Female,994
Nebraska,April,4,2025,Male,1061
Nebraska,May,5,2025,Female,1024
Nebraska,May,5,2025,Male,1088
Nebraska,June,6,2025,Female,996
Nebraska,June,6,2025,Male,1090
Nebraska,July,7,2025,Female,1060
Nebraska,July,7,2025,Male,1134
Nebraska,August,8,2025,Female,1014
Nebraska,August,8,2025,Male,1132
Nebraska,September,9,2025,Female,992
Nebraska,September,9,2025,Male,1034
Nebraska,October,10,2025,Female,1039
Nebraska,October,10,2025,Male,1028
Nebraska,November,11,2025,Female,924
Nebraska,November,11,2025,Male,952
Nebraska,December,12,2025,Female,1044
Nebraska,December,12,2025,Male,1025
Nevada,January,1,2025,Female,1346
Nevada,January,1,2025,Male,1395
Nevada,February,2,2025,Female,1140
Nevada,February,2,2025,Male,1316
Nevada,March,3,2025,Female,1289
Nevada,March,3,2025,Male,1380
Nevada,April,4,2025,Female,1242
Nevada,April,4,2025,Male,1304
Nevada,May,5,2025,Female,1333
Nevada,May,5,2025,Male,1411
Nevada,June,6,2025,Female,1367
Nevada,June,6,2025,Male,1281
Nevada,July,7,2025,Female,1355
Nevada,July,7,2025,Male,1450
Nevada,August,8,2025,Female,1368
Nevada,August,8,2025,Male,1436
Nevada,September,9,2025,Female,1287
Nevada,September,9,2025,Male,1394
Nevada,October,10,2025,Female,1299
Nevada,October,10,2025,Male,1404
Nevada,November,11,2025,Female,1243
Nevada,November,11,2025,Male,1359
Nevada,December,12,2025,Female,1341
Nevada,December,12,2025,Male,1420
New Hampshire,January,1,2025,Female,460
New Hampshire,January,1,2025,Male,513
New Hampshire,February,2,2025,Female,421
New Hampshire,February,2,2025,Male,430
New Hampshire,March,3,2025,Female,501
New Hampshire,March,3,2025,Male,540
New Hampshire,April,4,2025,Female,514
New Hampshire,April,4,2025,Male,483
New Hampshire,May,5,2025,Female,507
New Hampshire,May,5,2025,Male,545
New Hampshire,June,6,2025,Female,488
New Hampshire,June,6,2025,Male,528
New Hampshire,July,7,2025,Female,526
New Hampshire,July,7,2025,Male,546
New Hampshire,August,8,2025,Female,523
New Hampshire,August,8,2025,Male,570
New Hampshire,September,9,2025,Female,520
New Hampshire,September,9,2025,Male,560
New Hampshire,October,10,2025,Female,492
New Hampshire,October,10,2025,Male,521
New Hampshire,November,11,2025,Female,456
New Hampshire,November,11,2025,Male,463
New Hampshire,December,12,2025,Female,490
New Hampshire,December,12,2025,Male,525
New Jersey,January,1,2025,Female,3989
New Jersey,January,1,2025,Male,4246
New Jersey,February,2,2025,Female,3649
New Jersey,February,2,2025,Male,3938
New Jersey,March,3,2025,Female,3980
New Jersey,March,3,2025,Male,4207
New Jersey,April,4,2025,Female,4001
New Jersey,April,4,2025,Male,4159
New Jersey,May,5,2025,Female,4151
New Jersey,May,5,2025,Male,4325
New Jersey,June,6,2025,Female,4222
New Jersey,June,6,2025,Male,4329
New Jersey,July,7,2025,Female,4441
New Jersey,July,7,2025,Male,4509
New Jersey,August,8,2025,Female,4304
New Jersey,August,8,2025,Male,4609
New Jersey,September,9,2025,Female,4178
New Jersey,September,9,2025,Male,4443
New Jersey,October,10,2025,Female,4107
New Jersey,October,10,2025,Male,4265
New Jersey,November,11,2025,Female,3815
New Jersey,November,11,2025,Male,4007
New Jersey,December,12,2025,Female,4099
New Jersey,December,12,2025,Male,4254
New Mexico,January,1,2025,Female,849
New Mexico,January,1,2025,Male,899
New Mexico,February,2,2025,Female,803
New Mexico,February,2,2025,Male,892
New Mexico,March,3,2025,Female,848
New Mexico,March,3,2025,Male,847
New Mexico,April,4,2025,Female,850
New Mexico,April,4,2025,Male,849
New Mexico,May,5,2025,Female,872
New Mexico,May,5,2025,Male,911
New Mexico,June,6,2025,Female,858
New Mexico,June,6,2025,Male,877
New Mexico,July,7,2025,Female,911
New Mexico,July,7,2025,Male,946
New Mexico,August,8,2025,Female,981
New Mexico,August,8,2025,Male,1050
New Mexico,September,9,2025,Female,893
New Mexico,September,9,2025,Male,970
New Mexico,October,10,2025,Female,850
New Mexico,October,10,2025,Male,882
New Mexico,November,11,2025,Female,810
New Mexico,November,11,2025,Male,824
New Mexico,December,12,2025,Female,672
New Mexico,December,12,2025,Male,685
New York,January,1,2025,Female,8315
New York,January,1,2025,Male,8640
New York,February,2,2025,Female,7610
New York,February,2,2025,Male,8007
New York,March,3,2025,Female,8183
New York,March,3,2025,Male,8453
New York,April,4,2025,Female,7988
New York,April,4,2025,Male,8289
New York,May,5,2025,Female,8487
New York,May,5,2025,Male,8749
New York,June,6,2025,Female,8347
New York,June,6,2025,Male,8811
New York,July,7,2025,Female,8655
New York,July,7,2025,Male,9373
New York,August,8,2025,Female,8802
New York,August,8,2025,Male,9145
New York,September,9,2025,Female,8408
New York,September,9,2025,Male,8811
New York,October,10,2025,Female,8493
New York,October,10,2025,Male,8529
New York,November,11,2025,Female,7886
New York,November,11,2025,Male,7901
New York,December,12,2025,Female,7794
New York,December,12,2025,Male,8063
North Carolina,January,1,2025,Female,5211
North Carolina,January,1,2025,Male,5268
North Carolina,February,2,2025,Female,4546
North Carolina,February,2,2025,Male,4723
North Carolina,March,3,2025,Female,4938
North Carolina,March,3,2025,Male,5327
North Carolina,April,4,2025,Female,4860
North Carolina,April,4,2025,Male,5020
North Carolina,May,5,2025,Female,4925
North Carolina,May,5,2025,Male,5244
North Carolina,June,6,2025,Female,4993
North Carolina,June,6,2025,Male,5000
North Carolina,July,7,2025,Female,5394
North Carolina,July,7,2025,Male,5622
North Carolina,August,8,2025,Female,5336
North Carolina,August,8,2025,Male,5628
North Carolina,September,9,2025,Female,5330
North Carolina,September,9,2025,Male,5548
North Carolina,October,10,2025,Female,5116
North Carolina,October,10,2025,Male,5374
North Carolina,November,11,2025,Female,4688
North Carolina,November,11,2025,Male,4781
North Carolina,December,12,2025,Female,5247
North Carolina,December,12,2025,Male,5405
North Dakota,January,1,2025,Female,387
North Dakota,January,1,2025,Male,413
North Dakota,February,2,2025,Female,382
North Dakota,February,2,2025,Male,393
North Dakota,March,3,2025,Female,410
North Dakota,March,3,2025,Male,448
North Dakota,April,4,2025,Female,373
North Dakota,April,4,2025,Male,456
North Dakota,May,5,2025,Female,423
North Dakota,May,5,2025,Male,425
North Dakota,June,6,2025,Female,408
North Dakota,June,6,2025,Male,420
North Dakota,July,7,2025,Female,440
North Dakota,July,7,2025,Male,507
North Dakota,August,8,2025,Female,437
North Dakota,August,8,2025,Male,436
North Dakota,September,9,2025,Female,385
North Dakota,September,9,2025,Male,471
North Dakota,October,10,2025,Female,425
North Dakota,October,10,2025,Male,438
North Dakota,November,11,2025,Female,369
North Dakota,November,11,2025,Male,373
North Dakota,December,12,2025,Female,382
North Dakota,December,12,2025,Male,409
Ohio,January,1,2025,Female,5187
Ohio,January,1,2025,Male,5391
Ohio,February,2,2025,Female,4797
Ohio,February,2,2025,Male,4878
Ohio,March,3,2025,Female,5253
Ohio,March,3,2025,Male,5358
Ohio,April,4,2025,Female,4951
Ohio,April,4,2025,Male,5365
Ohio,May,5,2025,Female,5340
Ohio,May,5,2025,Male,5614
Ohio,June,6,2025,Female,5297
Ohio,June,6,2025,Male,5457
Ohio,July,7,2025,Female,5541
Ohio,July,7,2025,Male,5875
Ohio,August,8,2025,Female,5567
Ohio,August,8,2025,Male,5697
Ohio,September,9,2025,Female,5288
Ohio,September,9,2025,Male,5500
Ohio,October,10,2025,Female,5211
Ohio,October,10,2025,Male,5382
Ohio,November,11,2025,Female,4671
Ohio,November,11,2025,Male,4856
Ohio,December,12,2025,Female,4999
Ohio,December,12,2025,Male,5254
Oklahoma,January,1,2025,Female,1998
Oklahoma,January,1,2025,Male,2126
Oklahoma,February,2,2025,Female,1813
Oklahoma,February,2,2025,Male,1898
Oklahoma,March,3,2025,Female,1970
Oklahoma,March,3,2025,Male,2067
Oklahoma,April,4,2025,Female,1879
Oklahoma,April,4,2025,Male,1996
Oklahoma,May,5,2025,Female,1919
Oklahoma,May,5,2025,Male,2053
Oklahoma,June,6,2025,Female,1918
Oklahoma,June,6,2025,Male,1997
Oklahoma,July,7,2025,Female,2106
Oklahoma,July,7,2025,Male,2297
Oklahoma,August,8,2025,Female,2110
Oklahoma,August,8,2025,Male,2110
Oklahoma,September,9,2025,Female,2077
Oklahoma,September,9,2025,Male,2223
Oklahoma,October,10,2025,Female,1921
Oklahoma,October,10,2025,Male,2024
Oklahoma,November,11,2025,Female,1788
Oklahoma,November,11,2025,Male,1946
Oklahoma,December,12,2025,Female,2131
Oklahoma,December,12,2025,Male,2160
Oregon,January,1,2025,Female,1572
Oregon,January,1,2025,Male,1645
Oregon,February,2,2025,Female,1486
Oregon,February,2,2025,Male,1488
Oregon,March,3,2025,Female,1661
Oregon,March,3,2025,Male,1698
Oregon,April,4,2025,Female,1597
Oregon,April,4,2025,Male,1591
Oregon,May,5,2025,Female,1647
Oregon,May,5,2025,Male,1785
Oregon,June,6,2025,Female,1637
Oregon,June,6,2025,Male,1691
Oregon,July,7,2025,Female,1706
Oregon,July,7,2025,Male,1828
Oregon,August,8,2025,Female,1633
Oregon,August,8,2025,Male,1791
Oregon,September,9,2025,Female,1627
Oregon,September,9,2025,Male,1702
Oregon,October,10,2025,Female,1614
Oregon,October,10,2025,Male,1633
Oregon,November,11,2025,Female,1520
Oregon,November,11,2025,Male,1537
Oregon,December,12,2025,Female,1494
Oregon,December,12,2025,Male,1472
Pennsylvania,January,1,2025,Female,5184
Pennsylvania,January,1,2025,Male,5374
Pennsylvania,February,2,2025,Female,4703
Pennsylvania,February,2,2025,Male,4880
Pennsylvania,March,3,2025,Female,5248
Pennsylvania,March,3,2025,Male,5392
Pennsylvania,April,4,2025,Female,5043
Pennsylvania,April,4,2025,Male,5348
Pennsylvania,May,5,2025,Female,5464
Pennsylvania,May,5,2025,Male,5636
Pennsylvania,June,6,2025,Female,5142
Pennsylvania,June,6,2025,Male,5548
Pennsylvania,July,7,2025,Female,5598
Pennsylvania,July,7,2025,Male,5827
Pennsylvania,August,8,2025,Female,5589
Pennsylvania,August,8,2025,Male,5803
Pennsylvania,September,9,2025,Female,5479
Pennsylvania,September,9,2025,Male,5517
Pennsylvania,October,10,2025,Female,5176
Pennsylvania,October,10,2025,Male,5370
Pennsylvania,November,11,2025,Female,4748
Pennsylvania,November,11,2025,Male,5060
Pennsylvania,December,12,2025,Female,5000
Pennsylvania,December,12,2025,Male,5195
Rhode Island,January,1,2025,Female,445
Rhode Island,January,1,2025,Male,418
Rhode Island,February,2,2025,Female,358
Rhode Island,February,2,2025,Male,389
Rhode Island,March,3,2025,Female,387
Rhode Island,March,3,2025,Male,443
Rhode Island,April,4,2025,Female,392
Rhode Island,April,4,2025,Male,388
Rhode Island,May,5,2025,Female,444
Rhode Island,May,5,2025,Male,445
Rhode Island,June,6,2025,Female,424
Rhode Island,June,6,2025,Male,445
Rhode Island,July,7,2025,Female,466
Rhode Island,July,7,2025,Male,445
Rhode Island,August,8,2025,Female,464
Rhode Island,August,8,2025,Male,444
Rhode Island,September,9,2025,Female,427
Rhode Island,September,9,2025,Male,435
Rhode Island,October,10,2025,Female,378
Rhode Island,October,10,2025,Male,401
Rhode Island,November,11,2025,Female,357
Rhode Island,November,11,2025,Male,376
Rhode Island,December,12,2025,Female,320
Rhode Island,December,12,2025,Male,347
South Carolina,January,1,2025,Female,2415
South Carolina,January,1,2025,Male,2588
South Carolina,February,2,2025,Female,2271
South Carolina,February,2,2025,Male,2411
South Carolina,March,3,2025,Female,2393
South Carolina,March,3,2025,Male,2546
South Carolina,April,4,2025,Female,2336
South Carolina,April,4,2025,Male,2453
South Carolina,May,5,2025,Female,2378
South Carolina,May,5,2025,Male,2516
South Carolina,June,6,2025,Female,2414
South Carolina,June,6,2025,Male,2467
South Carolina,July,7,2025,Female,2564
South Carolina,July,7,2025,Male,2665
South Carolina,August,8,2025,Female,2587
South Carolina,August,8,2025,Male,2648
South Carolina,September,9,2025,Female,2548
South Carolina,September,9,2025,Male,2580
South Carolina,October,10,2025,Female,2444
South Carolina,October,10,2025,Male,2583
South Carolina,November,11,2025,Female,2200
South Carolina,November,11,2025,Male,2338
South Carolina,December,12,2025,Female,2472
South Carolina,December,12,2025,Male,2541
South Dakota,January,1,2025,Female,437
South Dakota,January,1,2025,Male,466
South Dakota,February,2,2025,Female,399
South Dakota,February,2,2025,Male,441
South Dakota,March,3,2025,Female,506
South Dakota,March,3,2025,Male,479
South Dakota,April,4,2025,Female,469
South Dakota,April,4,2025,Male,467
South Dakota,May,5,2025,Female,462
South Dakota,May,5,2025,Male,545
South Dakota,June,6,2025,Female,451
South Dakota,June,6,2025,Male,487
South Dakota,July,7,2025,Female,525
South Dakota,July,7,2025,Male,591
South Dakota,August,8,2025,Female,476
South Dakota,August,8,2025,Male,496
South Dakota,September,9,2025,Female,505
South Dakota,September,9,2025,Male,510
South Dakota,October,10,2025,Female,468
South Dakota,October,10,2025,Male,493
South Dakota,November,11,2025,Female,432
South Dakota,November,11,2025,Male,450
South Dakota,December,12,2025,Female,500
South Dakota,December,12,2025,Male,502
Tennessee,January,1,2025,Female,3484
Tennessee,January,1,2025,Male,3608
Tennessee,February,2,2025,Female,3236
Tennessee,February,2,2025,Male,3209
Tennessee,March,3,2025,Female,3426
Tennessee,March,3,2025,Male,3534
Tennessee,April,4,2025,Female,3264
Tennessee,April,4,2025,Male,3479
Tennessee,May,5,2025,Female,3348
Tennessee,May,5,2025,Male,3750
Tennessee,June,6,2025,Female,3419
Tennessee,June,6,2025,Male,3450
Tennessee,July,7,2025,Female,3709
Tennessee,July,7,2025,Male,3865
Tennessee,August,8,2025,Female,3549
Tennessee,August,8,2025,Male,3893
Tennessee,September,9,2025,Female,3515
Tennessee,September,9,2025,Male,3753
Tennessee,October,10,2025,Female,3442
Tennessee,October,10,2025,Male,3669
Tennessee,November,11,2025,Female,3177
Tennessee,November,11,2025,Male,3311
Tennessee,December,12,2025,Female,3448
Tennessee,December,12,2025,Male,3635
Texas,January,1,2025,Female,16094
Texas,January,1,2025,Male,16885
Texas,February,2,2025,Female,14326
Texas,February,2,2025,Male,14656
Texas,March,3,2025,Female,15307
Texas,March,3,2025,Male,15841
Texas,April,4,2025,Female,14885
Texas,April,4,2025,Male,15433
Texas,May,5,2025,Female,15281
Texas,May,5,2025,Male,16249
Texas,June,6,2025,Female,15047
Texas,June,6,2025,Male,15650
Texas,July,7,2025,Female,16689
Texas,July,7,2025,Male,17392
Texas,August,8,2025,Female,16656
Texas,August,8,2025,Male,17232
Texas,September,9,2025,Female,16349
Texas,September,9,2025,Male,17354
Texas,October,10,2025,Female,16314
Texas,October,10,2025,Male,16929
Texas,November,11,2025,Female,14893
Texas,November,11,2025,Male,15495
Texas,December,12,2025,Female,16535
Texas,December,12,2025,Male,17022
Utah,January,1,2025,Female,1796
Utah,January,1,2025,Male,1896
Utah,February,2,2025,Female,1688
Utah,February,2,2025,Male,1758
Utah,March,3,2025,Female,1973
Utah,March,3,2025,Male,1990
Utah,April,4,2025,Female,1951
Utah,April,4,2025,Male,1972
Utah,May,5,2025,Female,2032
Utah,May,5,2025,Male,2134
Utah,June,6,2025,Female,2023
Utah,June,6,2025,Male,2147
Utah,July,7,2025,Female,2104
Utah,July,7,2025,Male,2218
Utah,August,8,2025,Female,2079
Utah,August,8,2025,Male,2147
Utah,September,9,2025,Female,1955
Utah,September,9,2025,Male,2047
Utah,October,10,2025,Female,1901
Utah,October,10,2025,Male,2050
Utah,November,11,2025,Female,1734
Utah,November,11,2025,Male,1833
Utah,December,12,2025,Female,1814
Utah,December,12,2025,Male,1913
Vermont,January,1,2025,Female,210
Vermont,January,1,2025,Male,197
Vermont,February,2,2025,Female,177
Vermont,February,2,2025,Male,209
Vermont,March,3,2025,Female,198
Vermont,March,3,2025,Male,244
Vermont,April,4,2025,Female,185
Vermont,April,4,2025,Male,209
Vermont,May,5,2025,Female,221
Vermont,May,5,2025,Male,224
Vermont,June,6,2025,Female,207
Vermont,June,6,2025,Male,217
Vermont,July,7,2025,Female,219
Vermont,July,7,2025,Male,246
Vermont,August,8,2025,Female,209
Vermont,August,8,2025,Male,236
Vermont,September,9,2025,Female,207
Vermont,September,9,2025,Male,198
Vermont,October,10,2025,Female,224
Vermont,October,10,2025,Male,213
Vermont,November,11,2025,Female,232
Vermont,November,11,2025,Male,203
Vermont,December,12,2025,Female,206
Vermont,December,12,2025,Male,178
Virginia,January,1,2025,Female,3830
Virginia,January,1,2025,Male,4054
Virginia,February,2,2025,Female,3491
Virginia,February,2,2025,Male,3709
Virginia,March,3,2025,Female,3803
Virginia,March,3,2025,Male,3983
Virginia,April,4,2025,Female,3702
Virginia,April,4,2025,Male,3850
Virginia,May,5,2025,Female,3898
Virginia,May,5,2025,Male,4040
Virginia,June,6,2025,Female,3833
Virginia,June,6,2025,Male,3943
Virginia,July,7,2025,Female,4012
Virginia,July,7,2025,Male,4118
Virginia,August,8,2025,Female,4069
Virginia,August,8,2025,Male,4203
Virginia,September,9,2025,Female,4001
Virginia,September,9,2025,Male,4049
Virginia,October,10,2025,Female,3853
Virginia,October,10,2025,Male,3982
Virginia,November,11,2025,Female,3575
Virginia,November,11,2025,Male,3515
Virginia,December,12,2025,Female,3694
Virginia,December,12,2025,Male,3793
Washington,January,1,2025,Female,3351
Washington,January,1,2025,Male,3452
Washington,February,2,2025,Female,3049
Washington,February,2,2025,Male,3088
Washington,March,3,2025,Female,3456
Washington,March,3,2025,Male,3562
Washington,April,4,2025,Female,3336
Washington,April,4,2025,Male,3400
Washington,May,5,2025,Female,3580
Washington,May,5,2025,Male,3767
Washington,June,6,2025,Female,3483
Washington,June,6,2025,Male,3632
Washington,July,7,2025,Female,3603
Washington,July,7,2025,Male,3919
Washington,August,8,2025,Female,3563
Washington,August,8,2025,Male,3748
Washington,September,9,2025,Female,3372
Washington,September,9,2025,Male,3577
Washington,October,10,2025,Female,3409
Washington,October,10,2025,Male,3525
Washington,November,11,2025,Female,3083
Washington,November,11,2025,Male,3277
Washington,December,12,2025,Female,3224
Washington,December,12,2025,Male,3506
West Virginia,January,1,2025,Female,713
West Virginia,January,1,2025,Male,773
West Virginia,February,2,2025,Female,648
West Virginia,February,2,2025,Male,650
West Virginia,March,3,2025,Female,738
West Virginia,March,3,2025,Male,697
West Virginia,April,4,2025,Female,647
West Virginia,April,4,2025,Male,719
West Virginia,May,5,2025,Female,692
West Virginia,May,5,2025,Male,702
West Virginia,June,6,2025,Female,687
West Virginia,June,6,2025,Male,716
West Virginia,July,7,2025,Female,783
West Virginia,July,7,2025,Male,798
West Virginia,August,8,2025,Female,672
West Virginia,August,8,2025,Male,782
West Virginia,September,9,2025,Female,695
West Virginia,September,9,2025,Male,735
West Virginia,October,10,2025,Female,755
West Virginia,October,10,2025,Male,720
West Virginia,November,11,2025,Female,618
West Virginia,November,11,2025,Male,686
West Virginia,December,12,2025,Female,610
West Virginia,December,12,2025,Male,695
Wisconsin,January,1,2025,Female,2399
Wisconsin,January,1,2025,Male,2439
Wisconsin,February,2,2025,Female,2191
Wisconsin,February,2,2025,Male,2324
Wisconsin,March,3,2025,Female,2443
Wisconsin,March,3,2025,Male,2545
Wisconsin,April,4,2025,Female,2376
Wisconsin,April,4,2025,Male,2450
Wisconsin,May,5,2025,Female,2489
Wisconsin,May,5,2025,Male,2651
Wisconsin,June,6,2025,Female,2464
Wisconsin,June,6,2025,Male,2613
Wisconsin,July,7,2025,Female,2618
Wisconsin,July,7,2025,Male,2822
Wisconsin,August,8,2025,Female,2604
Wisconsin,August,8,2025,Male,2782
Wisconsin,September,9,2025,Female,2443
Wisconsin,September,9,2025,Male,2524
Wisconsin,October,10,2025,Female,2395
Wisconsin,October,10,2025,Male,2580
Wisconsin,November,11,2025,Female,2268
Wisconsin,November,11,2025,Male,2327
Wisconsin,December,12,2025,Female,2335
Wisconsin,December,12,2025,Male,2452
Wyoming,January,1,2025,Female,262
Wyoming,January,1,2025,Male,264
Wyoming,February,2,2025,Female,215
Wyoming,February,2,2025,Male,258
Wyoming,March,3,2025,Female,254
Wyoming,March,3,2025,Male,276
Wyoming,April,4,2025,Female,252
Wyoming,April,4,2025,Male,264
Wyoming,May,5,2025,Female,268
Wyoming,May,5,2025,Male,272
Wyoming,June,6,2025,Female,252
Wyoming,June,6,2025,Male,253
Wyoming,July,7,2025,Female,258
Wyoming,July,7,2025,Male,300
Wyoming,August,8,2025,Female,282
Wyoming,August,8,2025,Male,312
Wyoming,September,9,2025,Female,232
Wyoming,September,9,2025,Male,251
Wyoming,October,10,2025,Female,260
Wyoming,October,10,2025,Male,230
Wyoming,November,11,2025,Female,225
Wyoming,November,11,2025,Male,226
Wyoming,December,12,2025,Female,258
Wyoming,December,12,2025,Male,277
